=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.962226390838623, avg_neg_score 0.116276815533638
avg_pos_score 0.9581069946289062, avg_neg_score 0.10877789556980133
avg_pos_score 0.8792769908905029, avg_neg_score 0.05383317172527313
avg_pos_score 0.8745220303535461, avg_neg_score 0.05149073526263237
avg_pos_score 0.9522354006767273, avg_neg_score 0.09720268100500107
avg_pos_score 0.9507777094841003, avg_neg_score 0.09291453659534454
avg_pos_score 0.8718417882919312, avg_neg_score 0.05088461562991142
Fold 0 FINAL: Loss=0.0951, TP=19, TN=124025, FP=1732, FN=48
Metrics: Acc=0.9859, Rec=0.2836, Prec=0.0109, F1=0.0209
avg_pos_score 0.5735663175582886, avg_neg_score 0.5775355696678162
avg_pos_score 0.17103447020053864, avg_neg_score 0.01710522547364235
avg_pos_score 0.8717349767684937, avg_neg_score 0.30198267102241516
avg_pos_score 0.8753273487091064, avg_neg_score 0.29660698771476746
avg_pos_score 0.5246848464012146, avg_neg_score 0.06399019062519073
avg_pos_score 0.5772213935852051, avg_neg_score 0.09903614223003387
avg_pos_score 0.9024445414543152, avg_neg_score 0.4326326549053192
avg_pos_score 0.8893989324569702, avg_neg_score 0.34520459175109863
avg_pos_score 0.7790774703025818, avg_neg_score 0.12344897538423538
avg_pos_score 0.8082706928253174, avg_neg_score 0.12618885934352875
avg_pos_score 0.8918456435203552, avg_neg_score 0.2463514506816864
avg_pos_score 0.8939055800437927, avg_neg_score 0.229887455701828
avg_pos_score 0.8365557789802551, avg_neg_score 0.141073077917099
avg_pos_score 0.8143356442451477, avg_neg_score 0.12539178133010864
avg_pos_score 0.8583219051361084, avg_neg_score 0.16230350732803345
avg_pos_score 0.8709316849708557, avg_neg_score 0.16590732336044312
avg_pos_score 0.8460382223129272, avg_neg_score 0.14116616547107697
avg_pos_score 0.8601680994033813, avg_neg_score 0.14150646328926086
avg_pos_score 0.8889827728271484, avg_neg_score 0.1494138538837433
avg_pos_score 0.8856399655342102, avg_neg_score 0.1305292397737503
avg_pos_score 0.8677705526351929, avg_neg_score 0.10895731300115585
avg_pos_score 0.8726989030838013, avg_neg_score 0.11102291941642761
avg_pos_score 0.8938087821006775, avg_neg_score 0.12347441166639328
avg_pos_score 0.8859699964523315, avg_neg_score 0.10857739299535751
avg_pos_score 0.8862766623497009, avg_neg_score 0.09762651473283768
avg_pos_score 0.9124300479888916, avg_neg_score 0.10830307006835938
avg_pos_score 0.9083796143531799, avg_neg_score 0.10118655115365982
avg_pos_score 0.8912407755851746, avg_neg_score 0.08682411164045334
avg_pos_score 0.9150646924972534, avg_neg_score 0.0994134172797203
avg_pos_score 0.9081898927688599, avg_neg_score 0.0907888114452362
avg_pos_score 0.9057154655456543, avg_neg_score 0.08494032174348831
avg_pos_score 0.923893928527832, avg_neg_score 0.09286905825138092
avg_pos_score 0.902734637260437, avg_neg_score 0.07485592365264893
avg_pos_score 0.9281370639801025, avg_neg_score 0.087346151471138
avg_pos_score 0.9141388535499573, avg_neg_score 0.07412618398666382
avg_pos_score 0.9329833984375, avg_neg_score 0.08172319829463959
avg_pos_score 0.9107117056846619, avg_neg_score 0.06489408016204834
avg_pos_score 0.9433223009109497, avg_neg_score 0.08808034658432007
avg_pos_score 0.8887761235237122, avg_neg_score 0.05430186167359352
avg_pos_score 0.9597541093826294, avg_neg_score 0.10271609574556351
avg_pos_score 0.920561671257019, avg_neg_score 0.06259478628635406
